127.0.0.1 - - [13/Aug/2019:09:21:52 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/dist/css/sb-admin-2.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/jquery/jquery.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/dist/js/sb-admin-2.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:27 +0900] "GET /resource/dist/js/sb-admin-2.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /board/list HTTP/1.1" 200 59863
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/dist/css/sb-admin-2.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/jquery/jquery.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/dist/js/sb-admin-2.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Aug/2019:09:37:28 +0900] "GET /resource/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 404 1086
